📺其他频道,#genre#
1,http://58.56.150.58:8083/hls/1/index.m3u8
2,http://58.56.150.58:8083/hls/2/index.m3u8
3,http://58.56.150.58:8083/hls/3/index.m3u8
4,http://58.56.150.58:8083/hls/4/index.m3u8
5,http://58.56.150.58:8083/hls/5/index.m3u8
6,http://58.56.150.58:8083/hls/6/index.m3u8
7,http://58.56.150.58:8083/hls/7/index.m3u8
8,http://58.56.150.58:8083/hls/8/index.m3u8
9,http://58.56.150.58:8083/hls/9/index.m3u8
10,http://58.56.150.58:8083/hls/10/index.m3u8
11,http://58.56.150.58:8083/hls/11/index.m3u8
12,http://58.56.150.58:8083/hls/12/index.m3u8
13,http://58.56.150.58:8083/hls/13/index.m3u8
14,http://58.56.150.58:8083/hls/14/index.m3u8
15,http://58.56.150.58:8083/hls/15/index.m3u8
16,http://58.56.150.58:8083/hls/16/index.m3u8
17,http://58.56.150.58:8083/hls/17/index.m3u8
18,http://58.56.150.58:8083/hls/18/index.m3u8
19,http://58.56.150.58:8083/hls/19/index.m3u8
20,http://58.56.150.58:8083/hls/20/index.m3u8
21,http://58.56.150.58:8083/hls/21/index.m3u8
22,http://58.56.150.58:8083/hls/22/index.m3u8
23,http://58.56.150.58:8083/hls/23/index.m3u8
24,http://58.56.150.58:8083/hls/24/index.m3u8
1,http://112.225.181.31:8081/hls/1/index.m3u8
2,http://112.225.181.31:8081/hls/2/index.m3u8
3,http://112.225.181.31:8081/hls/3/index.m3u8
4,http://112.225.181.31:8081/hls/4/index.m3u8
5,http://112.225.181.31:8081/hls/5/index.m3u8
6,http://112.225.181.31:8081/hls/6/index.m3u8
7,http://112.225.181.31:8081/hls/7/index.m3u8
8,http://112.225.181.31:8081/hls/8/index.m3u8
9,http://112.225.181.31:8081/hls/9/index.m3u8
10,http://112.225.181.31:8081/hls/10/index.m3u8
11,http://112.225.181.31:8081/hls/11/index.m3u8
12,http://112.225.181.31:8081/hls/12/index.m3u8
13,http://112.225.181.31:8081/hls/13/index.m3u8
14,http://112.225.181.31:8081/hls/14/index.m3u8
15,http://112.225.181.31:8081/hls/15/index.m3u8
16,http://112.225.181.31:8081/hls/16/index.m3u8
17,http://112.225.181.31:8081/hls/17/index.m3u8
18,http://112.225.181.31:8081/hls/18/index.m3u8
19,http://112.225.181.31:8081/hls/19/index.m3u8
20,http://112.225.181.31:8081/hls/20/index.m3u8
21,http://112.225.181.31:8081/hls/21/index.m3u8
22,http://112.225.181.31:8081/hls/22/index.m3u8
23,http://112.225.181.31:8081/hls/23/index.m3u8
24,http://112.225.181.31:8081/hls/24/index.m3u8
25,http://112.225.181.31:8081/hls/25/index.m3u8
26,http://112.225.181.31:8081/hls/26/index.m3u8
27,http://112.225.181.31:8081/hls/27/index.m3u8
28,http://112.225.181.31:8081/hls/28/index.m3u8
29,http://112.225.181.31:8081/hls/29/index.m3u8
30,http://112.225.181.31:8081/hls/30/index.m3u8
31,http://112.225.181.31:8081/hls/31/index.m3u8
32,http://112.225.181.31:8081/hls/32/index.m3u8
哈尔滨新闻,http://111.43.126.240:7777/hls/1/index.m3u8
哈尔滨影视,http://111.43.126.240:7777/hls/5/index.m3u8
CCTC-17农业,http://111.43.126.240:7777/hls/30/index.m3u8
CGTN-1,http://111.43.126.240:7777/hls/32/index.m3u8
CGTN-2,http://111.43.126.240:7777/hls/33/index.m3u8
CETV-1,http://111.43.126.240:7777/hls/34/index.m3u8
CETV-2,http://111.43.126.240:7777/hls/35/index.m3u8
CETV-4,http://111.43.126.240:7777/hls/36/index.m3u8
炫动卡通,http://111.43.126.240:7777/hls/72/index.m3u8
惊辣悬疑,http://111.43.126.240:7777/hls/77/index.m3u8
嗨看暑假,http://111.43.126.240:7777/hls/79/index.m3u8
精品记录,http://111.43.126.240:7777/hls/88/index.m3u8
潮妈辣妹,http://111.43.126.240:7777/hls/94/index.m3u8
武博世界,http://111.43.126.240:7777/hls/95/index.m3u8
精品综艺,http://111.43.126.240:7777/hls/97/index.m3u8
热播精选,http://111.43.126.240:7777/hls/98/index.m3u8
咪咕精彩足球,http://111.43.126.240:7777/hls/103/index.m3u8
中国教育,http://116.228.170.214:888/hls/19/index.m3u8
水浒传,http://116.228.170.214:888/hls/51/index.m3u8
CCTV-新闻,http://27.12.113.40:8082/hls/13/index.m3u8
CCTV-少儿,http://27.12.113.40:8082/hls/14/index.m3u8
CCTV-音乐,http://27.12.113.40:8082/hls/15/index.m3u8
CCTV-NEWS,http://27.12.113.40:8082/hls/16/index.m3u8
卡酷动画,http://27.12.113.40:8082/hls/49/index.m3u8
1,http://144.0.23.246:8085/hls/1/index.m3u8
2,http://144.0.23.246:8085/hls/2/index.m3u8
3,http://144.0.23.246:8085/hls/3/index.m3u8
4,http://144.0.23.246:8085/hls/4/index.m3u8
5,http://144.0.23.246:8085/hls/5/index.m3u8
6,http://144.0.23.246:8085/hls/6/index.m3u8
7,http://144.0.23.246:8085/hls/7/index.m3u8
8,http://144.0.23.246:8085/hls/8/index.m3u8
9,http://144.0.23.246:8085/hls/9/index.m3u8
10,http://144.0.23.246:8085/hls/10/index.m3u8
11,http://144.0.23.246:8085/hls/11/index.m3u8
12,http://144.0.23.246:8085/hls/12/index.m3u8
13,http://144.0.23.246:8085/hls/13/index.m3u8
14,http://144.0.23.246:8085/hls/14/index.m3u8
15,http://144.0.23.246:8085/hls/15/index.m3u8
16,http://144.0.23.246:8085/hls/16/index.m3u8
17,http://144.0.23.246:8085/hls/17/index.m3u8
18,http://144.0.23.246:8085/hls/18/index.m3u8
19,http://144.0.23.246:8085/hls/19/index.m3u8
20,http://144.0.23.246:8085/hls/20/index.m3u8
21,http://144.0.23.246:8085/hls/21/index.m3u8
22,http://144.0.23.246:8085/hls/22/index.m3u8
23,http://144.0.23.246:8085/hls/23/index.m3u8
24,http://144.0.23.246:8085/hls/24/index.m3u8
河北经济,http://61.240.150.5:81/hls/58/index.m3u8
河北影视,http://61.240.150.5:81/hls/60/index.m3u8
河北少儿,http://61.240.150.5:81/hls/61/index.m3u8
河北公共,http://61.240.150.5:81/hls/62/index.m3u8
河北农民,http://61.240.150.5:81/hls/63/index.m3u8
廊坊公共,http://61.240.150.5:81/hls/68/index.m3u8
齐鲁,http://112.8.201.35:5001/hls/18/index.m3u8
梨园,http://112.8.201.35:5001/hls/46/index.m3u8
CGTN,http://14.155.136.239:8088/hls/18/index.m3u8
深圳都市,http://14.155.136.239:8088/hls/20/index.m3u8
深圳电视剧,http://14.155.136.239:8088/hls/21/index.m3u8
齐鲁,http://112.8.201.39:5001/hls/18/index.m3u8
梨园,http://112.8.201.39:5001/hls/46/index.m3u8
📺数字频道,#genre#
哈尔滨生活,http://111.43.126.240:7777/hls/3/index.m3u8
卡酷少儿,http://111.43.126.240:7777/hls/71/index.m3u8
金鹰卡通,http://111.43.126.240:7777/hls/73/index.m3u8
优漫卡通,http://111.43.126.240:7777/hls/74/index.m3u8
CHC动作电影,http://111.43.126.240:7777/hls/75/index.m3u8
黑莓电影,http://111.43.126.240:7777/hls/99/index.m3u8
黑莓动画,http://111.43.126.240:7777/hls/100/index.m3u8
哒啵赛事,http://111.43.126.240:7777/hls/101/index.m3u8
动漫秀场,http://116.228.170.214:888/hls/21/index.m3u8
金鹰卡通,http://27.12.113.40:8082/hls/50/index.m3u8
金鹰卡通,http://222.85.198.92:8000/hls/38/index.m3u8
CHC动作电影,http://61.240.150.5:81/hls/110/index.m3u8
梨园频道,http://61.240.150.5:81/hls/70/index.m3u8
金鹰卡通,http://36.48.28.136:8082/hls/33/index.m3u8
深圳财经生活,http://14.155.136.239:8088/hls/22/index.m3u8
📺卫视频道,#genre#
黑龙江卫视,http://111.43.126.240:7777/hls/6/index.m3u8
湖南卫视,http://111.43.126.240:7777/hls/37/index.m3u8
江苏卫视,http://111.43.126.240:7777/hls/38/index.m3u8
东方卫视,http://111.43.126.240:7777/hls/39/index.m3u8
浙江卫视,http://111.43.126.240:7777/hls/40/index.m3u8
北京卫视,http://111.43.126.240:7777/hls/41/index.m3u8
广东卫视,http://111.43.126.240:7777/hls/42/index.m3u8
安徽卫视,http://111.43.126.240:7777/hls/43/index.m3u8
河南卫视,http://111.43.126.240:7777/hls/44/index.m3u8
吉林卫视,http://111.43.126.240:7777/hls/45/index.m3u8
天津卫视,http://111.43.126.240:7777/hls/46/index.m3u8
东南卫视,http://111.43.126.240:7777/hls/47/index.m3u8
山东卫视,http://111.43.126.240:7777/hls/48/index.m3u8
江西卫视,http://111.43.126.240:7777/hls/49/index.m3u8
四川卫视,http://111.43.126.240:7777/hls/50/index.m3u8
深圳卫视,http://111.43.126.240:7777/hls/51/index.m3u8
贵州卫视,http://111.43.126.240:7777/hls/52/index.m3u8
海南卫视,http://111.43.126.240:7777/hls/53/index.m3u8
湖北卫视,http://111.43.126.240:7777/hls/54/index.m3u8
重庆卫视,http://111.43.126.240:7777/hls/55/index.m3u8
河北卫视,http://111.43.126.240:7777/hls/56/index.m3u8
辽宁卫视,http://111.43.126.240:7777/hls/57/index.m3u8
西藏卫视,http://111.43.126.240:7777/hls/58/index.m3u8
青海卫视,http://111.43.126.240:7777/hls/59/index.m3u8
云南卫视,http://111.43.126.240:7777/hls/60/index.m3u8
山西卫视,http://111.43.126.240:7777/hls/61/index.m3u8
广西卫视,http://111.43.126.240:7777/hls/62/index.m3u8
内蒙古卫视,http://111.43.126.240:7777/hls/63/index.m3u8
新疆卫视,http://111.43.126.240:7777/hls/64/index.m3u8
延边卫视,http://111.43.126.240:7777/hls/65/index.m3u8
